"user","tournament","selectedCategories","completedCategories","categoryAttempts","categoryAttempts.$*","askedQuestions","askedQuestions.$*","categoryScores","categoryScores.$*","registrationDate","totalScore","sendTourFeedback","_id","__v"
"65fe496b205cf6d5f81e91fb","66f07e48838421de185302b8","[""health"",""environment"",""education"",""entertainment"",""food"",""current affairs""]","[""environment"",""health"",""education"",""current affairs"",""food"",""entertainment""]",,,,,,,"2024-09-23T02:42:43.582Z",137,,"66f0d5a317e37d9db08e425c",8
"65b1ebbc90ba2e3794e9696d","66f07e48838421de185302b8","[""world"",""technology"",""health"",""crime"",""tourism"",""current affairs""]","[""current affairs"",""technology"",""tourism"",""crime"",""health""]",,,,,,,"2024-09-23T03:21:05.965Z",395,,"66f0dea117e37d9db08ffcab",5
"653548118a2815874166fa66","66f07e48838421de185302b8","[""sports"",""science"",""entertainment"",""technology"",""world"",""current affairs""]","[""science"",""sports"",""entertainment"",""technology"",""world"",""current affairs""]",,,,,,,"2024-09-23T03:44:46.335Z",114,,"66f0e42e17e37d9db0900275",6
"667d9d31ede918c194e96af9","66f07e48838421de185302b8","[""health"",""sports"",""food"",""education"",""entertainment"",""current affairs""]","[""sports"",""health"",""food"",""education"",""current affairs"",""entertainment""]",,,,,,,"2024-09-23T03:59:19.508Z",49,,"66f0e79717e37d9db0900471",6
"660161af451e8641829f6113","66f07e48838421de185302b8","[""tourism"",""lifestyle"",""world"",""science"",""education"",""current affairs""]","[""education"",""science"",""world"",""tourism"",""lifestyle"",""current affairs""]",,,,,,,"2024-09-23T06:20:44.639Z",251,,"66f108bc17e37d9db09214e7",6
"6613f4c9ce72abb1ce9abea9","66f07e48838421de185302b8","[""politics"",""environment"",""health"",""world"",""entertainment"",""current affairs""]","[]",,,,,,,"2024-09-24T07:15:55.311Z",0,,"66f2672ba7daa77cd9064289",0
"6613f4bece72abb1ce9abe7c","66f07e48838421de185302b8","[""world"",""health"",""lifestyle"",""entertainment"",""environment"",""current affairs""]","[]",,,,,,,"2024-09-24T07:18:31.226Z",0,,"66f267c7a107dd1f4cbcd2fb",0
"6613f4aace72abb1ce9abe31","66f07e48838421de185302b8","[""health"",""technology"",""entertainment"",""sports"",""politics"",""current affairs""]","[""health""]",,,,,,,"2024-09-24T07:18:32.535Z",32,,"66f267c8a107dd1f4cbcd316",1
"6613f4d3ce72abb1ce9abed3","66f07e48838421de185302b8","[""education"",""world"",""technology"",""health"",""lifestyle"",""current affairs""]","[""education"",""world""]",,,,,,,"2024-09-24T07:18:31.985Z",0,,"66f267c7a107dd1f4cbcd30a",2
"6613f4bece72abb1ce9abe79","66f07e48838421de185302b8","[""science"",""lifestyle"",""politics"",""business"",""environment"",""current affairs""]","[""science""]",,,,,,,"2024-09-24T07:18:33.624Z",7,,"66f267c9a107dd1f4cbcd32b",1
"6613f498ce72abb1ce9abdf2","66f07e48838421de185302b8","[""health"",""world"",""technology"",""crime"",""science"",""current affairs""]","[""health""]",,,,,,,"2024-09-24T07:18:34.420Z",40,,"66f267caa107dd1f4cbcd33d",1
"6613f4cdce72abb1ce9abeb8","66f07e48838421de185302b8","[""crime"",""world"",""education"",""politics"",""entertainment"",""current affairs""]","[]",,,,,,,"2024-09-24T07:18:30.700Z",0,,"66f267c6a107dd1f4cbcd2ef",0
"6613f4a6ce72abb1ce9abe22","66f07e48838421de185302b8","[""business"",""crime"",""environment"",""technology"",""sports"",""current affairs""]","[""business"",""crime""]",,,,,,,"2024-09-24T07:18:32.262Z",27,,"66f267c8a107dd1f4cbcd310",2
"6613f4a0ce72abb1ce9abe10","66f07e48838421de185302b8","[""business"",""tourism"",""food"",""technology"",""sports"",""current affairs""]","[]",,,,,,,"2024-09-24T07:18:33.022Z",0,,"66f267c9a107dd1f4cbcd31f",0
"6613f4bace72abb1ce9abe6a","66f07e48838421de185302b8","[""crime"",""tourism"",""food"",""world"",""business"",""current affairs""]","[""crime""]",,,,,,,"2024-09-24T07:18:34.822Z",0,,"66f267caa107dd1f4cbcd346",1
"6613f4cfce72abb1ce9abec1","66f07e48838421de185302b8","[""business"",""tourism"",""technology"",""sports"",""lifestyle"",""current affairs""]","[]",,,,,,,"2024-09-24T07:18:32.856Z",0,,"66f267c8a107dd1f4cbcd31c",0
"6613f4dbce72abb1ce9abef1","66f07e48838421de185302b8","[""health"",""lifestyle"",""technology"",""world"",""sports"",""current affairs""]","[""health""]",,,,,,,"2024-09-24T07:18:33.175Z",20,,"66f267c9a107dd1f4cbcd322",1
"6613f4c1ce72abb1ce9abe88","66f07e48838421de185302b8","[""technology"",""food"",""world"",""environment"",""sports"",""current affairs""]","[]",,,,,,,"2024-09-24T07:18:33.495Z",0,,"66f267c9a107dd1f4cbcd328",0
"6613f4dece72abb1ce9abefd","66f07e48838421de185302b8","[""politics"",""lifestyle"",""science"",""world"",""technology"",""current affairs""]","[]",,,,,,,"2024-09-24T07:18:33.897Z",0,,"66f267c9a107dd1f4cbcd331",0
"6613f4c0ce72abb1ce9abe85","66f07e48838421de185302b8","[""sports"",""entertainment"",""environment"",""world"",""business"",""current affairs""]","[""sports""]",,,,,,,"2024-09-24T07:18:31.537Z",3,,"66f267c7a107dd1f4cbcd301",1
"6613f4b3ce72abb1ce9abe52","66f07e48838421de185302b8","[""entertainment"",""business"",""health"",""lifestyle"",""tourism"",""current affairs""]","[""entertainment"",""business""]",,,,,,,"2024-09-24T07:18:31.660Z",3,,"66f267c7a107dd1f4cbcd304",2
"6613f49ace72abb1ce9abdf8","66f07e48838421de185302b8","[""technology"",""science"",""environment"",""health"",""lifestyle"",""current affairs""]","[]",,,,,,,"2024-09-24T07:18:32.384Z",0,,"66f267c8a107dd1f4cbcd313",0
"6613f4cbce72abb1ce9abeb2","66f07e48838421de185302b8","[""education"",""tourism"",""crime"",""environment"",""sports"",""current affairs""]","[""education"",""tourism""]",,,,,,,"2024-09-24T07:18:31.820Z",0,,"66f267c7a107dd1f4cbcd307",2
"6613f4ddce72abb1ce9abefa","66f07e48838421de185302b8","[""science"",""business"",""politics"",""sports"",""environment"",""current affairs""]","[]",,,,,,,"2024-09-24T07:18:33.336Z",0,,"66f267c9a107dd1f4cbcd325",0
"6613f4e0ce72abb1ce9abf06","66f07e48838421de185302b8","[""entertainment"",""environment"",""technology"",""tourism"",""lifestyle"",""current affairs""]","[""entertainment""]",,,,,,,"2024-09-24T07:18:30.819Z",20,,"66f267c6a107dd1f4cbcd2f2",1
"6613f4c3ce72abb1ce9abe8e","66f07e48838421de185302b8","[""tourism"",""education"",""crime"",""politics"",""entertainment"",""current affairs""]","[""tourism"",""education""]",,,,,,,"2024-09-24T07:18:31.104Z",39,,"66f267c7a107dd1f4cbcd2f8",2
